ori,ff_shootings_total,shr_homicides_total,shr_police_total
MT0560000,2,9,0
CA0300200,1,3,0
WA0030000,2,8,0
OH0780700,1,37,0
WI0410500,1,3,0
IN0451400,1,24,1
IN0200200,1,4,1
WI0360100,1,4,0
KY0570100,1,5,0
IL0920300,1,31,1
LA0520200,1,12,0
MS0610200,1,0,0
KS0280100,1,9,0
OH0020000,2,3,0
CA0160200,1,12,0
CA0430400,2,9,1
CA0550000,1,8,0
TX0840300,1,2,0
GA0280500,1,4,0
MO0730000,1,7,0
NY0540100,1,4,0
OR0060000,1,3,0
AR0600100,3,24,3
MS0250300,2,2,0
MT0150000,3,14,0
CA0300700,1,1,0
AZ0020900,1,11,0
IL0161400,1,1,0
NC0560000,1,14,0
TX1840100,5,2,0
WI0140000,1,3,0
MI7047400,1,6,0
IL0600100,1,16,0
SC0120000,2,20,0
GA1360000,2,3,0
VA1130000,2,28,0
VA0690000,1,5,0
WY0030000,1,4,0
PA0140300,1,6,0
PA0090300,1,9,1
AL0290000,2,1,0
WA0080200,3,10,0
CO0210200,2,6,0
NM0190100,2,7,0
TN0050200,1,4,1
IL0490600,1,2,0
VA0960000,2,5,0
IN0320000,1,2,0
OR0200600,3,16,0
MT0320000,1,6,0
TX0571700,2,16,0
OH0510100,1,8,0
IL0165900,1,4,0
GA0600600,1,10,0
NC0330000,2,19,0
TX1250000,1,5,0
CA0192300,1,2,0
TN0300100,3,4,0
CA0570100,1,8,1
MO0100000,2,16,0
TN0530000,2,11,1
NC0850000,1,3,0
CA0071100,1,10,0
NC0570000,1,3,0
OH0070000,1,9,0
AR0580100,1,3,0
NM0230000,1,3,0
NM0170100,1,11,0
NY0515900,1,0,0
NJ0011900,1,16,0
LA0390000,1,12,0
LA0190000,3,9,0
WV0410000,2,28,0
UT0030100,1,8,0
TN0180000,2,6,1
GA0447100,1,10,1
MN0070100,1,6,0
WA0180100,1,8,0
NJ0181000,1,2,0
OR0170100,2,5,0
MO0570000,1,4,0
LA0580000,2,11,0
TX2330100,2,7,0
NH0081600,1,6,0
WV0170000,1,10,0
OH0185700,1,1,1
KY0561000,1,5,0
NJ0023200,1,1,1
IN0100200,1,2,0
VA1000000,2,5,0
MN0620800,1,5,1
KS0520100,1,17,0
MS0440000,2,6,0
PA0090500,1,6,0
FL0590200,1,0,0
TX0200100,2,8,1
AR0170100,1,4,0
ME0010100,2,5,1
SC0240100,1,29,0
AR0660000,1,0,0
FL0550100,1,0,0
SC0320200,1,7,1
OH0850000,1,5,0
AR0630000,1,11,0
IA0770400,1,4,1
AR0730000,2,15,0
AZ0070700,3,8,0
OH0290100,1,6,0
TX0940300,1,7,0
OH0780000,1,3,0
MS0300300,1,16,0
CO0340100,1,4,0
NC0140200,1,4,0
VA1050000,1,8,0
GA1070100,1,13,0
CA0193100,1,15,0
AL0500000,2,1,0
MI7371700,2,91,0
MA0050300,1,2,0
CA0196200,2,2,0
AL0580000,2,0,0
AZ0100400,1,2,0
NJ0111000,1,1,1
NH0092000,1,6,1
WY0030100,1,6,0
FL0290300,1,0,0
KS0080000,1,3,0
SC0360000,1,11,0
FL0521800,2,0,0
MO0480400,2,15,1
MS0440100,2,0,0
FL0460200,1,0,0
OH0251100,1,19,0
WI0050800,1,2,0
IN0790000,2,2,0
AL0440000,1,0,0
CA0360300,2,27,0
AL0110000,3,0,0
CA0192600,1,1,0
CA0010800,2,8,2
CA0190500,6,15,3
NY0250000,1,3,0
NY0180000,1,3,0
MS0380000,2,13,0
SC0130000,1,22,0
GA0680000,2,2,0
NC0730000,2,14,0
TX2300000,1,16,0
VA0170000,2,5,0
TN0150000,3,13,0
MI6362800,1,8,1
TX1300000,1,1,0
NJ0033000,1,11,1
MO1050000,1,4,1
CO0230000,1,5,0
OK0360300,1,8,1
NC0700000,1,6,0
CO0180700,1,2,0
OH0700000,1,7,0
TX1070000,1,16,0
CA0500100,3,7,1
AL0640000,2,1,0
TX1020000,2,12,0
MT0250000,1,5,0
SC0150000,1,36,0
MA0142800,1,2,0
TN0110000,2,6,0
MO0190200,2,12,0
CO0430000,1,3,1
IA0820000,1,2,0
LA0370200,1,10,0
WA0230000,3,17,0
MI8018000,1,8,0
CA0330200,3,8,1
AL0080000,2,1,0
MN0700400,1,7,0
FL0320000,3,0,0
TN0320000,1,3,0
WA0360100,1,10,1
AZ0080100,4,13,5
AK0010300,1,11,1
CA0270600,1,5,1
GA0880000,1,3,0
TX0200800,2,7,0
CT0009600,1,4,0
WA0190000,1,6,1
VA0580000,2,9,0
GA0310200,1,25,0
LA0410000,2,0,0
KY1140000,1,4,0
CA0190900,2,10,1
MI0923900,1,7,2
MS0170400,2,12,0
IA0290100,3,13,2
AR0630200,1,1,0
KS0310100,1,9,0
TN0330200,1,5,0
MS0340200,1,16,0
GA0430100,1,6,0
CA0332500,3,28,2
CA0150300,4,40,1
TX1160000,1,11,0
OH0840000,1,5,0
NC0950000,1,8,0
MN0020600,1,7,1
AR0430200,1,4,0
IA0230100,1,5,1
OK0100100,1,12,0
TX1330100,3,8,0
MD0171400,1,13,1
MO0958000,1,4,0
GA0670800,1,2,0
SC0320500,1,9,0
TX1012300,1,2,0
MI3813800,3,8,1
CA0301600,1,3,0
NM0050100,1,7,0
IA0820100,2,3,1
GA0930000,1,4,0
WI0720000,1,5,1
NJ0151600,2,1,0
OK0690200,1,7,0
OK0190300,1,4,0
OH0480200,1,2,0
IN0730100,1,1,0
ID0030000,1,2,0
FL0590700,1,0,0
PA0462100,1,1,0
VA1150000,1,9,0
WV0200600,1,4,0
UT0181200,1,1,0
OR0360000,2,7,0
WV0060000,1,1,0
CA0240500,2,19,2
OR0030700,1,1,0
MN0271800,1,3,0
TX0711600,1,1,0
MO1070000,1,5,0
ID0350200,1,11,1
ID0060000,1,3,0
OH0480600,3,2,0
FL0200000,1,0,0
WI0180000,3,8,3
NC0090000,2,8,0
MA0093600,1,0,0
MN0110000,1,7,0
AL0050200,1,0,0
IL0492300,2,12,0
PA0462200,2,9,0
TN0020100,1,6,0
GA0080100,1,2,0
KY1050000,3,3,0
KS0190100,1,2,0
ME0060100,1,2,0
WA0150000,2,4,0
IN0180000,1,5,0
CA0130400,1,11,0
AL0610000,2,2,0
OH0313400,1,9,0
PA0450800,1,8,0
WA0040400,1,4,1
WY0110000,1,8,0
KY0240000,1,5,0
MI3849700,1,40,0
WI0110000,1,7,1
FL0020000,1,0,0
VA0050000,1,7,0
MN0130000,1,2,0
NY0335300,1,2,0
TX1390200,2,9,0
MI8270900,1,20,0
IL0162700,3,0,0
IL0900300,1,3,0
IL0220300,1,2,0
IN0360200,1,5,0
MD0171500,1,8,0
GA0640100,1,4,0
FL0510200,1,0,0
GA0660000,1,4,0
NC0450100,1,6,0
TN0100100,3,0,0
AR0470000,1,3,0
AK0011800,1,12,0
NJ0070400,1,0,0
IN0840000,1,8,0
PA0450900,1,7,0
ID0090000,2,10,1
OH0771200,1,1,0
NC0990000,1,9,0
OH0670300,2,3,1
VA0490000,1,3,0
TN0070000,2,5,1
CT0015900,1,1,0
TN0260000,2,6,0
WA0130200,1,5,0
ND0450100,1,4,1
OH0431200,1,2,0
MS0170300,1,2,0
WA0080000,2,8,0
UT0250700,1,3,1
MI3889000,1,10,0
VA0720000,1,2,0
TX2360000,1,6,0
IN0100000,1,3,0
OH0770200,1,8,0
IL0900000,1,2,0
SC0270000,1,22,0
MO0120200,1,7,0
NC0910100,1,43,0
GA0250500,1,4,0
NM0320000,5,3,0
CA0420200,4,16,0
KY0150000,1,8,0
KY0730000,2,6,0
OH0520100,1,3,0
NY0465400,1,2,1
IN0270000,1,0,0
MO0510000,1,7,0
WI0710200,3,4,1
MT0150300,1,5,1
TX0310900,1,1,0
ND0300200,1,5,1
MA0095300,1,2,1
PA0391300,1,1,0
PA0110400,1,24,0
AZ0120100,1,4,0
OH0181700,3,28,0
GA0630100,1,9,1
IL0190000,1,2,0
FL0131200,1,0,0
MD0080400,2,7,0
VA1300000,1,3,0
WV0170200,1,1,0
UT0230100,1,2,0
UT0110100,1,7,0
OH0650000,1,3,0
OK0190000,1,11,0
UT0184200,1,0,0
MO0240600,1,3,0
NH0064000,1,1,0
NC0101300,1,2,0
WI0280300,1,0,0
IL0168800,2,5,1
TX1300100,2,2,0
TN0270000,2,5,0
OK0110100,3,3,0
NM0320300,1,0,0
KS0850000,1,4,0
OK0660000,2,14,0
KY0470000,1,10,0
WA0210000,1,10,1
WA0050000,1,6,0
WV0400000,2,3,0
OR0241700,1,4,0
MO0240400,1,7,0
CA0120300,1,17,1
NB0270100,1,2,0
TX2202400,1,5,0
TN0930000,3,5,0
CA0090200,2,7,1
OK0550200,1,28,0
FL0350100,1,0,0
AL0020200,1,11,0
KS0400100,2,4,0
CT0000200,1,3,0
WV0150200,1,3,0
GA0590000,1,9,0
MN0480000,1,9,1
NJ0080500,1,2,0
WA0140100,1,6,1
MA0031600,1,2,0
NM0030000,5,17,0
NC0010300,1,8,0
AL0200300,1,1,0
IL0163500,2,3,0
NJ0012200,2,7,1
WV0310000,5,0,0
UT0060100,1,4,0
WV0540000,1,7,0
UT0290200,3,6,3
TX1000000,1,8,0
TX1740000,2,7,0
MN0580000,1,5,0
OK0720600,1,2,0
OR0341200,2,2,0
AR0580000,3,10,0
WI0520300,1,2,0
CA0360100,5,17,0
SC0170000,2,42,1
AR0700000,1,10,0
MA0145700,1,0,0
VA0970000,2,9,0
TN0230000,1,1,0
MA0140300,1,4,0
KY0590500,1,5,0
NV0020400,1,4,0
AL0580100,1,0,0
NC0660000,1,5,0
TN0890100,1,11,0
FL0450100,1,0,0
MS0760000,1,6,0
LA0260400,1,5,0
OH0040000,5,2,0
AK0010200,6,31,3
OH0183600,1,2,0
TX2202600,2,5,0
AZ0120000,2,2,0
NC0050000,2,1,0
MN0210000,1,3,1
VA0810000,1,7,0
IL0221700,1,2,1
IA0770800,1,1,0
KY0180100,1,5,0
VA0140000,1,9,0
OH0780600,1,5,0
GA0280300,1,1,0
TX1610100,1,17,0
KY0110100,1,0,0
CA0010400,1,2,0
GA0790000,1,2,0
GA0340100,1,2,0
TN0500100,1,3,0
NC0860200,1,1,0
MO0956200,1,3,0
OH0430000,3,2,0
KY0760000,1,1,0
MS0550000,1,0,0
WA0171700,1,13,0
ME0010000,1,1,0
MN0270200,2,15,0
KY0591900,1,1,0
IL0451300,1,0,0
CA0101500,1,14,0
WI0380000,4,9,4
IL0221200,1,1,0
PA0280100,1,8,0
TX0700100,1,3,0
VA0840000,2,5,1
TX0840700,2,24,0
TX0080000,1,1,0
IN0350100,1,0,0
GA0310500,1,13,0
SC0010000,1,6,0
NM0160100,4,3,0
FL0410600,1,0,0
WI0310000,2,4,1
CA0530000,1,11,1
TX2470000,2,4,0
TX0370000,1,9,0
AL0140000,1,0,0
ID0330100,2,2,2
AR0320000,1,12,0
MI8242000,1,2,0
TX0570200,1,12,0
OR0180100,1,13,0
KS0461200,1,1,0
MN0270400,1,9,0
TX0280000,1,4,0
MS0480000,2,3,0
FL0040000,2,0,0
WI0411400,1,6,1
GA0200100,2,2,0
NC0010400,1,1,0
AL0290600,2,0,0
MN0040100,1,7,1
AR0050100,1,5,0
AZ0071900,1,0,0
FL0130800,1,0,0
KY0630000,2,23,0
OR0170000,1,15,0
TX2500000,1,3,0
OK0420000,1,4,0
AL0390000,1,0,0
CA0160300,1,5,0
CA0540100,2,4,1
IN0730000,2,2,0
AR0030000,1,9,0
CA0197000,2,2,0
OH0571200,2,25,0
MO0220200,1,3,0
AL0200000,1,3,0
MN0271400,2,3,1
OH0184300,2,0,0
TN0390000,2,5,0
TN0560000,1,5,0
TX0010100,1,9,1
FL0530100,1,0,0
OK0620100,2,5,0
KY1060100,1,5,0
FL0300000,1,0,0
NC0360900,1,7,0
CO0220100,2,8,0
TX2250100,1,5,0
TX1610000,1,6,0
AR0470100,1,54,0
AL0110200,1,0,0
AZ0130300,1,2,0
FL0130300,1,0,0
NC0230100,1,6,0
TX0190000,1,5,0
TN0540000,1,4,0
WI0090000,1,5,1
CA0330100,1,23,0
MI2583900,1,11,0
WI0220000,1,9,1
MN0500100,2,5,1
MO0120000,1,8,0
MI3950000,2,9,0
MS0570000,1,1,0
GA1510000,1,3,0
MS0620000,1,8,0
MA0130500,1,1,0
IN0330200,2,0,0
MI8278300,1,1,0
MA0145400,1,1,0
IL0161100,1,3,0
IN0451300,2,0,0
TN0800000,1,1,0
IN0490100,1,1,0
AL0011300,1,0,0
LA0140000,1,0,0
DE0030500,2,5,1
LA0010100,1,19,0
TX0200500,1,2,0
NC0440200,1,8,0
LA0060100,1,5,0
TN0010100,2,3,1
MO0920000,3,0,0
WV0190000,1,7,0
WA0330000,1,15,0
OH0050000,1,4,0
WV0250000,2,2,0
MN0310000,1,5,0
OH0520300,1,4,0
CO0620400,2,4,0
LA0200000,1,2,0
KS0260100,1,4,0
MO0800000,2,2,0
OK0720300,2,3,0
TN0160200,1,5,0
NY0357000,1,0,0
IL0451000,2,0,0
WI0140100,1,4,1
MN0070000,1,3,0
WI0350000,3,3,2
NC0040000,4,9,0
WA0110000,1,6,0
NY0130100,1,3,1
GA0430000,1,5,0
MO0540000,1,0,0
IL0166500,1,4,0
WI0550000,1,9,1
OH0181000,1,4,0
CO0100000,2,1,0
IN0150000,1,0,0
WA0311900,1,1,0
CA0560600,1,10,1
WI0430000,1,8,1
WI0100000,2,2,1
MN0190300,1,3,1
TX1090000,1,6,0
TX0430200,1,2,0
OH0770500,1,0,0
CA0150700,1,3,1
IL0470200,1,0,0
TN0590000,1,0,0
TX0950400,1,2,0
SC0390200,1,1,0
SC0440000,2,6,0
KY0710000,1,4,0
OK0160000,2,3,0
ME0060400,1,3,1
IL0169200,1,0,0
PA0430600,1,12,1
WA0270700,1,7,0
LA0300000,1,5,0
SC0370100,1,6,0
NY0353500,1,2,0
AR0430000,4,15,0
FL0640600,1,0,0
KY0370000,1,6,0
AR0050000,1,9,0
AR0300000,1,3,0
CA0271200,1,5,1
PA0061300,1,3,0
OH0040100,1,0,0
MN0020100,1,2,0
IL1000400,1,1,0
OH0200100,1,1,0
AZ0020500,1,2,0
CO0420000,2,1,0
GA0330800,1,2,0
TN0090000,1,5,0
NB0790100,1,8,0
TX1500000,1,4,0
IL0167000,1,4,0
TN0540100,1,7,0
TX2200200,1,1,0
NM0250100,1,4,0
AL0010600,1,0,0
MS0430100,2,21,0
CA0196700,1,2,0
WY0070200,1,8,0
LA0320100,1,4,0
FL0230000,1,0,0
AL0140100,1,0,0
TX0040100,1,10,0
NC0730100,1,7,0
TX2201900,1,0,0
PA0280000,1,0,0
WV0280000,2,22,0
CA0271000,1,7,1
KY0900000,1,10,0
IN0330000,2,2,0
WA0240000,1,7,0
CA0150600,1,7,1
OK0630000,2,13,1
OH0300000,1,0,0
CA0196100,3,7,0
OK0490000,1,3,0
PA0670900,1,4,0
TN0670000,2,1,1
MS0300600,1,9,0
WI0230000,1,0,0
OH0740200,1,0,0
WI0371300,1,4,1
TX1230500,1,4,0
RI0030500,1,2,1
LA0560000,1,5,0
KS0750000,1,2,0
TN0920000,1,5,0
OK0440000,1,6,1
FL0150000,1,0,0
VT0110200,2,2,0
TN0330600,1,3,0
MN0500000,1,1,0
GA1590000,1,2,0
DE0010300,1,3,1
ID0010200,2,3,0
NC0760600,1,5,0
SC0230100,1,5,0
NM0210100,1,3,0
NC0070100,1,9,1
LA0460000,1,23,0
GA0370000,1,0,0
CO0030400,1,5,0
ME0160000,2,4,2
ME0060000,1,3,1
CA0190700,1,11,0
TX1290100,1,1,0
OH0100000,1,1,0
AL0260000,1,0,0
OR0270000,2,5,0
OK0550100,1,9,0
MN0240100,1,3,1
AZ0040600,2,1,0
NJ0081000,1,0,0
TN0210000,1,2,0
ID0200200,1,1,0
MS0300100,2,0,0
NB0220100,1,2,0
TX0260000,1,1,0
MO0730300,1,4,0
ID0060200,1,4,0
CO0440200,1,5,0
NC0330200,2,4,0
FL0540100,2,0,0
AL0051300,1,0,0
WV0280200,1,6,0
TN0530100,1,4,1
ME0130000,1,2,0
CA0330600,1,33,1
NY0360000,1,1,0
PA0024200,1,0,0
CA0130100,1,8,0
UT0230000,1,3,0
WI0420000,1,5,1
WI0450400,1,0,0
MN0020700,1,1,0
MN0020400,1,3,0
MO0530000,1,0,0
TX1120000,1,9,0
IL0491600,1,0,0
GA1140000,1,3,0
AL0270100,1,3,0
CA0230300,1,3,0
SD0170100,1,7,1
PA0650200,1,0,0
MO0140300,1,3,0
SC0090000,1,10,0
NB0560000,1,0,0
OK0050100,1,4,0
TN0430000,1,2,0
MS0180200,1,2,1
OK0400100,2,4,0
VA0770100,2,2,0
AL0500300,1,1,0
OR0190000,2,1,0
TN0270200,1,7,0
KS0290000,1,1,0
OK0110000,2,12,0
CA0240100,2,11,0
IN0470000,1,0,0
OK0090500,1,1,1
NM0290000,2,2,0
MN0820200,1,3,0
TX0572200,1,3,0
OR0060200,1,5,0
MN0271900,2,6,1
CA0520200,3,4,0
AL0260100,1,2,0
ID0200000,3,4,0
AZ0131200,1,5,0
WA0080100,3,5,0
MN0430000,1,0,0
AK0015600,4,3,1
VA0400000,1,6,0
WI0360200,1,4,0
VA0350000,1,2,0
NY0342900,1,3,0
AL0310500,1,0,0
CO0020100,1,7,0
SC0270100,2,6,0
GA1110200,1,0,0
UT0061200,1,0,0
KY1060000,1,0,0
OK0680000,3,7,0
NY0465100,1,0,0
KY0970000,1,1,0
OR0340600,1,0,0
OK0450000,4,4,0
WA0210100,1,6,0
GA1320000,1,3,0
TX0791400,2,0,0
OR0230000,1,4,1
IL0890000,1,1,0
OK0720700,1,2,0
NC0460000,1,22,0
MS0140100,1,0,0
TX1100100,1,8,0
FL0641000,1,0,0
TN0330800,1,0,0
AL0060100,1,1,0
OR0230200,1,4,0
AR0320100,1,3,0
IL0169400,1,1,0
TX1770300,2,1,0
WI0230100,1,2,1
AZ0131400,1,0,0
AL0370000,1,5,0
GA0750400,1,3,1
NC0030000,1,0,0
MO0420100,2,3,0
AL0200100,1,0,0
KY0070100,2,3,0
NC0820100,1,5,0
MN0691400,1,2,0
GA1460100,1,0,0
MO0780000,1,10,1
TN0350100,1,9,1
WY0050000,1,0,0
MI6326100,1,0,0
CA0310300,1,3,1
MI1811800,1,9,0
ID0260000,1,3,0
OR0030900,1,0,0
MS0020000,1,1,0
IN0451500,1,1,0
KY0180000,1,5,0
MN0820600,1,3,1
MI5215200,1,1,1
MS0690000,2,2,0
CO0470000,2,4,0
MI1511500,1,1,0
WI0270000,2,5,2
IN0610000,1,0,0
OK0260100,3,17,3
OH0240000,2,6,0
MN0430200,1,0,0
CO0010800,1,5,0
NY0380100,1,2,0
TX1450000,1,2,0
TX1710100,1,3,0
AR0620100,1,22,0
PA0100100,1,3,0
NM0080100,1,4,0
MO0490600,1,2,0
OK0420100,1,7,1
UT0080000,1,2,0
KY0090100,1,1,0
TN0940200,2,4,2
OK0550700,1,0,0
TN0260200,2,6,2
OK0680100,2,4,1
NC0380000,1,1,0
WI0020000,1,4,0
AL0480100,1,0,0
IL0167800,1,3,1
NJ0080900,1,0,0
KS0260000,1,0,0
MI3413400,1,4,0
CA0130200,1,0,0
AL0420000,1,2,0
UT0060500,1,0,0
AL0620000,1,5,0
ME0030400,1,2,1
UT0290300,2,2,1
NC1000000,1,2,0
PA0481500,1,1,1
OR0330100,1,1,0
CA0170200,1,10,0
PA0651000,1,7,0
NC0690000,1,4,0
MO0880000,1,2,0
CT0010600,1,1,0
FL0030500,2,0,0
NJ0191500,1,0,0
TN0070200,1,2,0
SC0210200,1,5,1
OH0570900,1,2,0
KS0400000,1,3,0
IN0310000,2,0,0
IN0500000,3,0,0
WA0180700,1,1,0
OK0400000,1,8,0
UT0061100,3,1,0
MO1110000,1,1,0
WV0340000,1,6,0
OK0610000,1,7,0
OR0270100,2,1,0
MO0390200,1,1,0
TN0250000,1,5,1
MN0330000,1,0,0
PA0022700,1,8,0
AR0360000,1,6,0
GA0650000,1,3,0
IL0290000,1,2,0
WA0090200,1,3,1
MN0620500,1,2,0
OH0571800,1,0,0
CA0400200,1,5,1
TX2201100,1,12,0
NH0100600,1,2,1
OH0184500,1,3,1
NM0230100,1,4,0
MO0050200,1,3,0
IL0980600,1,0,0
AL0200200,2,0,0
OK0720400,1,1,0
CO0360100,3,3,1
WI0210000,1,5,1
OK0080100,2,6,0
OH0700200,1,0,0
IN0150200,1,1,0
VA0580500,1,0,0
OK0210000,1,8,0
MI3013000,1,4,0
ME0080000,1,0,0
WV0140000,1,2,0
NB0130000,1,2,0
CA0200100,1,7,1
CA0120100,1,7,0
VA0150000,1,5,0
CT0013900,1,1,0
NY0552700,1,0,0
WA0172200,1,0,0
MN0010000,1,5,1
ME0030300,1,1,0
OK0560200,1,11,0
MN0272000,1,1,0
KY0030000,1,0,0
CO0230100,1,4,0
WI0420200,1,2,1
ID0090200,2,2,0
MO0070000,1,1,0
SD0400000,2,2,0
NM0140100,3,2,0
OH0572400,1,2,0
GA0780100,1,1,0
OR0040300,2,1,0
KS0500000,1,1,0
TX1360000,1,0,0
MO1130000,1,5,0
MS0730000,1,2,0
TX0340000,1,5,0
WV0300000,1,6,0
IL0590000,1,1,0
UT0060400,1,2,0
OH0781200,1,0,0
IA0920000,1,1,1
KY0070000,1,2,0
GA0780600,1,2,0
CO0380100,2,4,0
CA0150900,1,4,1
AR0710000,2,3,0
WA0180500,1,0,0
TX0830000,1,4,0
GA0740000,1,3,0
FL0070000,1,0,0
CA0450100,2,3,0
TX0740100,1,2,0
IA0940000,2,4,0
AR0360100,1,3,0
CO0620100,1,1,0
NC0520000,1,0,0
AZ0040100,1,3,1
ND0360100,1,1,1
AL0610400,1,0,0
AL0450000,1,14,0
GA0210000,1,0,0
KS0570000,2,0,0
WV0400100,1,0,0
MO0500200,1,2,0
AL0230200,1,0,0
OK0120100,1,3,0
NY0592400,1,0,0
VT0060000,1,0,0
ME0020000,3,1,1
KY0050000,1,4,0
CA0080000,2,9,0
IN0090000,1,0,0
IN0390000,1,0,0
MI3213200,1,2,0
CO0390200,1,2,0
CA016070X,1,8,1
MA0144600,1,0,0
NM0130400,1,6,0
MA0142400,1,0,0
NM0300000,2,1,0
IA0560100,2,4,1
MN0460100,1,1,1
AZ0090900,1,6,0
LA0340100,1,16,0
NJ0160100,1,0,0
TN0200000,1,1,0
GA0120000,1,2,1
KY0710100,1,3,0
NB0010000,1,2,0
AR0560200,1,4,0
TX0270100,1,0,0
OH0871800,1,1,0
GA0370100,1,2,0
CO0410000,1,1,0
NC0180300,1,0,0
TX0220000,2,1,0
MS0640000,1,0,0
OK0620000,2,1,0
MI1124900,1,13,0
IA0080100,2,1,1
MO1090000,1,0,0
AR0140000,1,8,0
WI0340000,1,0,0
GA0390000,2,4,0
PA0650600,1,0,0
TX2080100,2,3,0
OH0500800,1,0,0
CO0230300,1,1,0
VT0140300,1,0,0
KS0670100,1,0,0
TN0240500,1,0,0
ID0240000,2,1,0
TN0510000,2,2,0
GA0750300,1,1,0
MO0550100,1,1,0
WI0690200,1,2,1
TX1000200,1,5,0
NJ0142300,1,1,0
TX0920200,1,2,0
TX2370100,1,2,0
WV0200400,1,0,0
WY0020000,1,0,0
TN0900200,1,1,0
WV0190300,1,1,0
LA0050200,1,5,0
GA0490000,1,1,0
GA1470300,1,4,0
NC0570100,1,0,0
OK0450100,1,2,0
CA0040500,1,2,0
OH0660000,3,8,0
OH0831000,1,1,0
MS0200000,2,5,0
MS0500000,1,0,0
IN0910000,1,0,0
IN0350000,3,0,0
TX2100000,1,8,0
IL0280000,1,0,0
WA0320100,1,0,0
UT0230200,1,1,0
LA0610000,1,6,0
TX0810000,1,2,0
IL0670000,1,0,0
NY0062900,1,0,0
AR0540100,2,45,0
OR0060600,1,3,0
MN0691700,1,0,0
OK0730100,3,7,0
LA0640000,2,4,0
PA0620100,1,2,0
ME0020600,2,5,3
NC0450300,1,3,0
MT0340100,1,1,0
GA0070200,1,2,0
OK0600100,1,0,0
AZ0100100,1,3,0
GA1590100,1,2,0
TN0510100,1,1,0
WV0420000,1,3,0
OH0253500,1,2,0
OK0560000,2,10,0
IN0680000,1,0,0
SD0510300,1,2,0
OR0240300,1,1,0
WI0650200,1,1,0
OH0780100,1,0,0
NY0442900,1,2,1
KY0590200,1,3,0
TX0560100,1,3,0
CA0420100,1,2,0
IL0420200,1,1,0
NB0930100,1,0,0
NJ0190400,1,2,1
TN0170000,2,1,1
WI0340100,2,1,1
VT0120200,2,1,0
IL0200000,1,0,0
CO0260100,1,1,1
KS0760100,1,0,0
WY0010000,2,1,0
AZ0060000,1,0,0
NC0360400,1,4,0
WY0130200,1,3,0
AL0250200,1,0,0
MO0280200,1,0,0
IN0750000,1,8,0
KY0020000,1,1,0
MS0710000,1,1,0
TX2280000,1,2,0
OR0030800,1,0,0
MS0820100,2,0,0
IA0860000,1,1,0
WY0040100,1,2,0
AK0011700,1,4,1
KY0591200,1,0,0
NH0010600,1,1,0
ME0100500,1,3,1
WV0420100,1,0,0
AL0490100,1,1,0
TX1170000,1,1,1
IN0870100,1,0,0
IL0561600,1,0,0
TN0730400,1,1,0
GA0180100,1,1,0
TN0600200,1,1,1
AL0110300,1,0,0
TN0370100,1,0,0
PA0640000,2,0,0
IN0690000,1,0,0
IN0110000,1,0,0
IA0090000,1,1,0
KY1160000,1,0,0
IN0380000,1,2,0
IN0660000,1,1,0
CA0500300,1,4,0
CA0490100,1,0,0
PA0441200,1,0,0
MT0050000,1,4,1
NB0890100,1,0,0
CT0014000,1,0,0
IL0640000,1,1,0
UT0070200,1,1,0
WI0670700,1,1,1
IL0200100,1,0,0
IN0690100,1,0,0
NH0011600,1,1,0
OK0360100,1,4,0
TX1400300,1,2,0
ND0470000,1,3,1
AR0570100,1,1,0
TX1440100,1,1,0
TN0210100,1,2,0
GA1530000,1,1,0
NC0440100,1,0,0
LA0510100,1,0,0
IL0820400,1,0,0
AL0020400,1,0,0
AL0140300,1,0,0
KY0610000,2,0,0
IN0600000,1,0,0
MI6916900,1,1,0
KY0430000,2,0,0
AR0450000,2,2,0
WV0210000,1,2,0
AL0180000,2,1,0
TX1690000,1,0,0
AR0690000,1,1,0
ID0370000,1,2,0
WA0390300,1,9,0
IA0880100,1,1,0
CA0390100,1,1,0
MS0810000,2,0,0
CO0620800,1,0,0
TX1550500,1,2,0
IN0880100,1,0,0
AL0020700,1,0,0
MI5155000,1,2,0
OH0571600,1,0,0
NJ0190200,1,0,0
NM0200100,1,0,0
TX0820300,1,1,0
TX0190400,1,1,0
AZ0091300,1,1,0
NV0040500,1,1,0
LA0401000,1,0,0
KY0450500,2,0,0
GA1410100,1,0,0
AR0080300,1,2,0
OK0500200,1,0,0
OH0400000,1,8,0
WV0490000,1,2,0
IN0240000,1,0,0
OK0010000,1,6,0
OK0580000,1,1,0
AR0240000,1,6,0
AR0490000,1,0,0
AR0530000,1,0,0
OH0310500,1,1,0
TX1940000,1,2,0
MA0052200,1,0,0
KY0390000,1,0,0
WA0080500,1,2,1
MN0800000,2,0,0
IN0700100,1,0,0
IN0850100,1,0,0
PA0233000,1,2,0
MO0590000,2,0,0
TX1660100,1,2,0
KS0970100,1,0,0
NM0270000,1,3,0
NV0140000,1,0,0
MS0770100,1,4,0
WA0240300,1,0,0
IL0380100,1,2,0
TX0080100,1,1,0
OK0190100,1,1,0
TN0760100,1,1,0
TN0240100,1,4,1
NC0610100,1,0,0
GA0080600,1,1,1
AL0650000,2,0,0
IA0530000,1,1,0
WV0160000,2,2,0
AL0240000,2,1,0
IA0190000,1,1,0
AL0210000,1,1,0
IA0040000,1,2,1
WI0090500,1,3,1
PA0390200,2,0,0
OK0520000,1,5,0
NB0170100,1,1,0
CO0360000,2,3,1
