ori,ff_shootings_total,shr_homicides_total,shr_police_total
TX1011500,4,44,1
GA0360000,1,8,0
AL0630100,2,2,0
FL0360200,3,0,0
SD0490200,2,41,0
SC0100000,4,51,2
FL0370000,2,0,0
MI2512500,1,6,0
GA0110000,4,211,3
FL0010000,4,0,0
NJ0111100,2,133,3
GA0750500,3,34,2
FL0430000,3,0,0
KS0890100,5,99,0
SC0260400,5,132,0
CA0360700,6,47,3
GA0690000,3,27,1
SC0040000,7,110,7
CT0013500,1,26,0
NC0410000,3,23,3
OR0340000,4,28,2
NC0340000,1,20,0
NJ0010200,4,66,2
TX0710000,3,35,1
NY0510000,6,0,0
WA0270000,15,90,2
TX1551200,6,69,0
IL0990700,4,53,0
KS0460600,3,26,1
FL0560200,2,0,0
CA0310000,3,15,0
FL0531200,5,0,0
NC0260000,2,17,0
MI4114100,2,26,4
FL0010100,1,0,0
CA0361000,12,306,14
MI3949900,2,59,0
FL0060800,2,0,0
NC0650200,1,96,0
TX1230100,5,114,4
CA0370200,2,35,2
FL0570000,3,0,0
VA0880000,1,19,0
FL0360100,1,0,0
GA1220000,1,20,0
FL0520300,3,0,0
TN0750000,2,13,1
MA0092600,1,20,0
LA0550000,5,26,0
TX0571800,4,59,2
LA0440000,1,9,1
GA0750000,2,1,0
NC0410300,1,106,0
TX0140400,3,114,0
IL0990000,2,22,0
CA0560400,1,76,1
NC0900000,1,21,0
CO0010400,3,48,2
NC0110000,1,20,0
TX0310100,4,23,0
CA0490000,1,17,0
OH0090000,2,2,0
TX0430500,2,22,0
UT0290000,1,6,0
IA0570100,3,44,4
NH0063400,2,30,0
IN0710200,3,112,2
MA0030800,3,16,0
CA0195300,4,34,3
SC0210000,3,85,0
NY0330000,1,12,0
FL0640100,3,0,0
PA0390100,3,58,3
IL0840200,1,58,1
GA0480000,4,24,0
WA0060300,8,38,0
CO0350300,5,29,3
FL0090000,5,0,0
FL0600000,2,0,0
GA0290100,2,21,0
TX2210100,2,49,1
MI5080600,1,42,0
CA0197200,5,15,5
NJ0122500,1,7,1
VA0890000,1,40,1
FL0062200,2,0,0
WI0300100,1,51,1
SC0260600,4,37,3
FL0139700,2,0,0
AZ0110000,3,41,3
SC0460000,1,29,0
CA0431600,4,7,1
SC0230200,2,39,1
TN0570100,2,75,2
OK0720000,2,20,0
UT0182500,5,60,0
CA0240000,5,32,1
OH0570000,4,31,0
CO0510100,16,89,5
CA0371000,1,49,0
VA1230000,3,97,0
TX2430500,2,47,2
IL0720700,3,83,3
OR0030000,10,38,0
SC0070000,1,55,1
TX1520000,2,7,0
FL0130200,1,0,0
AL0020000,4,9,0
WA0310300,1,36,1
MA0120300,3,43,0
FL0660000,1,0,0
KS0870000,4,18,0
CA0360400,8,49,5
TX0610200,2,24,0
MO0480600,9,69,4
NC0100000,1,0,0
CA0130000,1,10,0
ID0010000,2,5,0
MI3351900,2,91,0
MI8234300,4,18,1
CA0010500,9,14,4
AZ0072100,2,37,1
FL0310000,4,0,0
OR0200200,4,23,0
GA1100000,3,17,0
FL0061200,2,0,0
FL0420100,1,0,0
WA0170000,10,67,3
MD0110000,2,11,2
NC0130100,1,30,0
GA1550000,3,4,0
CA0500200,8,97,4
KS0460500,2,17,0
IL0450600,1,9,1
MA0051400,5,33,0
CA0301000,5,10,0
CA0120000,1,32,0
TN0940000,1,10,0
NC0490000,3,22,0
OR0090000,1,4,0
OR0240200,4,37,3
ND0090200,1,33,0
CA0193300,4,67,2
GA0380000,2,22,1
TX0610000,5,1,0
NC0740300,5,37,0
